id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
251,2025-11-16T17:38:08.133Z,2049,111,2025-11-16T09:43:14.000Z,305.866662,17,38,1,5.0977777,,
19748,2025-11-16T19:39:40.876Z,2049,111,2025-11-16T12:06:40.000Z,1619.123839,19,39,1,26.985397316666667,5.0977777,21.88761961666667
39135,2025-11-16T20:42:40.045Z,2049,111,2025-11-16T12:44:04.000Z,83.954278,20,42,1,1.3992379666666668,26.985397316666667,-25.58615935
268,2025-11-16T17:38:08.133Z,2051,36,2025-11-16T09:43:14.000Z,305.866662,17,38,1,5.0977777,,
19763,2025-11-16T19:39:40.876Z,2051,36,2025-11-16T11:49:36.000Z,595.123839,19,39,1,9.918730649999999,5.0977777,4.820952949999999
39152,2025-11-16T20:42:40.045Z,2051,36,2025-11-16T12:47:36.000Z,295.954278,20,42,1,4.9325713,9.918730649999999,-4.9861593499999985
270,2025-11-16T17:38:08.133Z,2051,70M,2025-11-16T09:39:18.000Z,69.866662,17,38,1,1.1644443666666668,,
19765,2025-11-16T19:39:40.876Z,2051,70M,2025-11-16T12:19:52.000Z,2411.123839,19,39,1,40.185397316666666,1.1644443666666668,39.02095295
39154,2025-11-16T20:42:40.045Z,2051,70M,2025-11-16T12:44:56.000Z,135.954278,20,42,1,2.2659046333333333,40.185397316666666,-37.91949268333333
274,2025-11-16T17:38:08.133Z,2051,960e,2025-11-16T10:02:19.000Z,1450.866662,17,38,1,24.18111103333333,,
19769,2025-11-16T19:39:40.876Z,2051,960e,2025-11-16T12:02:16.000Z,1355.123839,19,39,1,22.58539731666667,24.18111103333333,-1.595713716666662
39158,2025-11-16T20:42:40.045Z,2051,960e,2025-11-16T13:02:19.000Z,1178.954278,20,42,1,19.649237966666664,22.58539731666667,-2.936159350000004
278,2025-11-16T17:38:08.133Z,2061,106,2025-11-16T09:49:33.000Z,684.866662,17,38,1,11.414444366666666,,
19773,2025-11-16T19:39:40.876Z,2061,106,2025-11-16T11:57:41.000Z,1080.123839,19,39,1,18.002063983333336,11.414444366666666,6.58761961666667
39162,2025-11-16T20:42:40.045Z,2061,106,2025-11-16T12:52:29.000Z,588.954278,20,42,1,9.815904633333334,18.002063983333336,-8.186159350000002
281,2025-11-16T17:38:08.133Z,2061,195,2025-11-16T10:13:49.000Z,2140.866662,17,38,1,35.68111103333333,,
39165,2025-11-16T20:42:40.045Z,2061,195,2025-11-16T12:57:57.000Z,916.954278,20,42,1,15.2825713,35.68111103333333,-20.39853973333333
287,2025-11-16T17:38:08.133Z,2061,960,2025-11-16T09:46:13.000Z,484.866662,17,38,1,8.081111033333334,,
19781,2025-11-16T19:39:40.876Z,2061,960,2025-11-16T11:41:04.000Z,83.123839,19,39,1,1.3853973166666667,8.081111033333334,-6.695713716666668
39171,2025-11-16T20:42:40.045Z,2061,960,2025-11-16T12:47:06.000Z,265.954278,20,42,1,4.4325713,1.3853973166666667,3.047173983333334
292,2025-11-16T17:38:08.133Z,2089,107M,2025-11-16T10:10:57.000Z,1968.866662,17,38,1,32.81444436666666,,
19786,2025-11-16T19:39:40.876Z,2089,107M,2025-11-16T11:40:11.000Z,30.123839,19,39,1,0.5020639833333334,32.81444436666666,-32.31238038333333
39176,2025-11-16T20:42:40.045Z,2089,107M,2025-11-16T12:54:25.000Z,704.954278,20,42,1,11.749237966666668,0.5020639833333334,11.247173983333335
293,2025-11-16T17:38:08.133Z,2089,36,2025-11-16T09:40:31.000Z,142.866662,17,38,1,2.381111033333333,,
